word,meaning,level,ich,du,partizip,hilfsverb,rank,frequency
sein,to be,a11,bin,bist,gewesen,sein,1.0,3796784.0
haben,to have,a11,habe,hast,gehabt,haben,2.0,1618550.0
werden,to become,a12,werde,wirst,geworden,sein,4.0,948246.0
können,to be able,a11,kann,kannst,gekonnt,haben,5.0,713918.0
gehen,to go,a11,gehe,gehst,gegangen,sein,8.0,407185.0
sagen,to say,a11,sage,sagst,gesagt,haben,9.0,388020.0
sehen,to see,a11,sehe,siehst,gesehen,haben,10.0,384113.0
machen,to do,a11,mache,machst,gemacht,haben,11.0,376830.0
kommen,to come,a11,komme,kommst,gekommen,sein,13.0,317788.0
geben,to give,a11,gebe,gibst,gegeben,haben,14.0,280421.0
denken,to think,a11,denke,denkst,gedacht,haben,17.0,181538.0
hören,to hear,a11,höre,hörst,gehört,haben,18.0,158838.0
finden,to find,a11,finde,findest,gefunden,haben,19.0,143704.0
glauben,to believe,a11,glaube,glaubst,geglaubt,haben,20.0,141488.0
leben,to live,a11,lebe,lebst,gelebt,haben,21.0,138619.0
nehmen,to take,a11,nehme,nimmst,genommen,haben,23.0,125268.0
bringen,to bring,a11,bringe,bringst,gebracht,haben,28.0,97391.0
helfen,to help,a12,helfe,hilfst,geholfen,haben,32.0,87425.0
reden,to talk,a11,rede,redest,geredet,haben,33.0,87137.0
brauchen,to need,a11,brauche,brauchst,gebraucht,haben,36.0,82184.0
sprechen,to speak,a11,spreche,sprichst,gesprochen,haben,37.0,76116.0
fahren,to drive,a11,fahre,fährst,gefahren,sein,43.0,59107.0
bekommen,to get,a12,bekomme,bekommst,bekommen,haben,44.0,58826.0
arbeiten,to work,a11,arbeite,arbeitest,gearbeitet,haben,45.0,55922.0
erzählen,to tell,a11,erzähle,erzählst,erzählt,haben,48.0,50675.0
essen,to eat,a11,esse,isst,gegessen,haben,49.0,49877.0
laufen,to run,a11,laufe,läufst,gelaufen,sein,51.0,46564.0
heißen,to be called,a11,heiße,heißt,geheißen,haben,52.0,45882.0
spielen,to play,a11,spiele,spielst,gespielt,haben,53.0,45657.0
stimmen,to vote,a12,stimme,stimmst,gestimmt,haben,54.0,45252.0
suchen,to search,a11,suche,suchst,gesucht,haben,58.0,42371.0
treffen,to meet,a11,treffe,triffst,getroffen,haben,61.0,40933.0
schaffen,to create,a12,schaffe,schaffst,geschaffen,haben,62.0,40506.0
danken,to thank,a12,danke,dankst,gedankt,haben,66.0,36112.0
entschuldigen,to apologize,a12,entschuldige,entschuldigst,entschuldigt,haben,68.0,35036.0
schlafen,to sleep,a11,schlafe,schläfst,geschlafen,haben,69.0,34498.0
vergessen,to forget,a12,vergesse,vergisst,vergessen,haben,72.0,34160.0
nennen,to name,a12,nenne,nennst,genannt,haben,74.0,33522.0
lieben,to love,a11,liebe,liebst,geliebt,haben,76.0,32609.0
trinken,to drink,a11,trinke,trinkst,getrunken,haben,81.0,30083.0
schreiben,to write,a11,schreibe,schreibst,geschrieben,haben,83.0,29407.0
lesen,to read,a11,lese,liest,gelesen,haben,88.0,27633.0
lernen,to learn,a11,lerne,lernst,gelernt,haben,89.0,27615.0
tragen,to wear,a12,trage,trägst,getragen,haben,93.0,26367.0
kümmern,to take care,a11,kümmere,kümmerst,gekümmert,haben,97.0,25371.0
anrufen,to call,a11,rufe an,rufst an,angerufen,haben,100.0,24521.0
lachen,to laugh,a11,lache,lachst,gelacht,haben,113.0,21292.0
gefallen,to like,a12,gefalle,gefällst,gefallen,haben,115.0,21086.0
bezahlen,to pay,a11,bezahle,bezahlst,bezahlt,haben,116.0,20824.0
stecken,to stick,a12,stecke,steckst,gesteckt,haben,117.0,20656.0
schicken,to send,a12,schicke,schickst,geschickt,haben,124.0,19398.0
aufhören,to stop,a11,höre auf,hörst auf,aufgehört,haben,128.0,18732.0
anfangen,to begin,a11,fange an,fängst an,angefangen,haben,129.0,18714.0
verdienen,to earn,a12,verdiene,verdienst,verdient,haben,131.0,18187.0
